Optoforce time, xyz, yawpitchroll; 2.10640501976; 24.0; -10.0; 80.0; 167.0; -481.0; -98.0
Optoforce time, xyz, yawpitchroll; 2.1065351963; 24.0; -10.0; 80.0; 167.0; -483.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.10666513443; 24.0; -9.0; 80.0; 168.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.10679411888; 24.0; -9.0; 80.0; 166.0; -484.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.1069290638; 24.0; -9.0; 80.0; 166.0; -482.0; -98.0
Optoforce time, xyz, yawpitchroll; 2.10706114769; 24.0; -10.0; 80.0; 166.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.10719108582; 24.0; -10.0; 80.0; 167.0; -481.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.10732221603; 24.0; -9.0; 80.0; 167.0; -483.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.10745310783; 24.0; -9.0; 80.0; 166.0; -482.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.10758304596; 25.0; -9.0; 80.0; 166.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.10772204399; 25.0; -10.0; 80.0; 167.0; -481.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.10785412788; 24.0; -9.0; 80.0; 166.0; -482.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.1079890728; 24.0; -9.0; 80.0; 169.0; -481.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.10812306404; 25.0; -10.0; 80.0; 167.0; -481.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.10825514793; 25.0; -9.0; 80.0; 168.0; -484.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.1084151268; 25.0; -9.0; 80.0; 167.0; -481.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.10854816437; 24.0; -8.0; 80.0; 168.0; -480.0; -100.0
Optoforce time, xyz, yawpitchroll; 2.10868000984; 24.0; -9.0; 80.0; 167.0; -483.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.10881209373; 24.0; -9.0; 79.0; 168.0; -482.0; -92.0
Optoforce time, xyz, yawpitchroll; 2.10895609856; 24.0; -9.0; 80.0; 167.0; -483.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.10908818245; 24.0; -9.0; 80.0; 167.0; -483.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.10922002792; 25.0; -9.0; 80.0; 166.0; -482.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.10934901237; 24.0; -10.0; 80.0; 166.0; -482.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.10947799683; 24.0; -10.0; 80.0; 168.0; -480.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.10961008072; 25.0; -9.0; 80.0; 167.0; -481.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.10974001884; 24.0; -9.0; 80.0; 166.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.1098690033; 24.0; -10.0; 80.0; 167.0; -481.0; -93.0
Optoforce time, xyz, yawpitchroll; 2.11000013351; 25.0; -10.0; 79.0; 168.0; -482.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11013007164; 25.0; -9.0; 80.0; 168.0; -480.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.11026000977; 24.0; -9.0; 80.0; 168.0; -482.0; -98.0
Optoforce time, xyz, yawpitchroll; 2.11039400101; 24.0; -9.0; 80.0; 167.0; -481.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.1105260849; 25.0; -9.0; 79.0; 168.0; -480.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.11065411568; 24.0; -9.0; 79.0; 167.0; -481.0; -98.0
Optoforce time, xyz, yawpitchroll; 2.11076021194; 25.0; -9.0; 80.0; 167.0; -481.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11086702347; 25.0; -9.0; 79.0; 168.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11097407341; 25.0; -10.0; 79.0; 169.0; -481.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.1110830307; 25.0; -9.0; 80.0; 167.0; -481.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.11118912697; 24.0; -9.0; 80.0; 167.0; -479.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.11130023003; 24.0; -9.0; 79.0; 169.0; -481.0; -98.0
Optoforce time, xyz, yawpitchroll; 2.11140608788; 25.0; -9.0; 80.0; 166.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11151814461; 24.0; -9.0; 79.0; 168.0; -480.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.11162614822; 25.0; -10.0; 80.0; 169.0; -481.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11174416542; 24.0; -10.0; 79.0; 168.0; -480.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11186599731; 23.0; -9.0; 79.0; 168.0; -480.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.11197400093; 25.0; -9.0; 79.0; 168.0; -482.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.11207818985; 24.0; -10.0; 80.0; 166.0; -482.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.1121840477; 24.0; -9.0; 80.0; 167.0; -481.0; -98.0
Optoforce time, xyz, yawpitchroll; 2.1123239994; 24.0; -10.0; 79.0; 167.0; -481.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.11244010925; 24.0; -9.0; 79.0; 168.0; -480.0; -98.0
Optoforce time, xyz, yawpitchroll; 2.11255311966; 24.0; -9.0; 79.0; 168.0; -482.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.11266112328; 24.0; -10.0; 79.0; 168.0; -480.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11276721954; 24.0; -9.0; 79.0; 167.0; -483.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11287522316; 25.0; -10.0; 80.0; 167.0; -483.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11300516129; 25.0; -9.0; 79.0; 168.0; -482.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11311721802; 25.0; -10.0; 80.0; 166.0; -482.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.11322307587; 25.0; -9.0; 79.0; 167.0; -483.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11333012581; 24.0; -10.0; 79.0; 168.0; -482.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11343622208; 24.0; -10.0; 79.0; 167.0; -481.0; -98.0
Optoforce time, xyz, yawpitchroll; 2.11354422569; 24.0; -9.0; 80.0; 167.0; -483.0; -98.0
Optoforce time, xyz, yawpitchroll; 2.11365103722; 24.0; -9.0; 79.0; 168.0; -482.0; -98.0
Optoforce time, xyz, yawpitchroll; 2.11375617981; 24.0; -9.0; 80.0; 167.0; -483.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.11386203766; 24.0; -10.0; 79.0; 169.0; -481.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.11396718025; 24.0; -9.0; 79.0; 166.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11407113075; 24.0; -9.0; 80.0; 167.0; -483.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11417603493; 24.0; -9.0; 80.0; 166.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11428022385; 24.0; -9.0; 80.0; 166.0; -482.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.11438512802; 25.0; -9.0; 79.0; 168.0; -482.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.11448907852; 24.0; -8.0; 80.0; 166.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11459922791; 24.0; -8.0; 80.0; 168.0; -480.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.11470317841; 24.0; -9.0; 80.0; 166.0; -482.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.11480712891; 24.0; -9.0; 80.0; 167.0; -481.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11491107941; 24.0; -9.0; 80.0; 167.0; -481.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11501812935; 24.0; -8.0; 79.0; 168.0; -480.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11512207985; 24.0; -9.0; 79.0; 169.0; -481.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11522603035; 25.0; -9.0; 79.0; 168.0; -480.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11533117294; 24.0; -9.0; 79.0; 168.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11543512344; 25.0; -9.0; 80.0; 166.0; -482.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11553907394; 25.0; -8.0; 79.0; 168.0; -482.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.115650177; 24.0; -9.0; 79.0; 166.0; -484.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11574816704; 24.0; -10.0; 80.0; 167.0; -481.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11583518982; 25.0; -9.0; 79.0; 167.0; -481.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.1159222126; 25.0; -9.0; 80.0; 166.0; -482.0; -97.0
Optoforce time, xyz, yawpitchroll; 2.11600899696; 25.0; -9.0; 79.0; 168.0; -482.0; -95.0
Optoforce time, xyz, yawpitchroll; 2.11609601974; 24.0; -9.0; 79.0; 167.0; -483.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11618304253; 24.0; -8.0; 79.0; 166.0; -482.0; -93.0
Optoforce time, xyz, yawpitchroll; 2.11627101898; 25.0; -9.0; 79.0; 168.0; -482.0; -94.0
Optoforce time, xyz, yawpitchroll; 2.11638021469; 25.0; -10.0; 80.0; 167.0; -485.0; -96.0
Optoforce time, xyz, yawpitchroll; 2.11646699905; 25.0; -9.0; 80.0; 167.0; -481.0; -95.0
